SubjectID,ConditionCode,Format,Complexity,N1,N2,CorrectAnswer,UserAnswer,Accuracy,RT_ms,WasEdited
Sub_8021,4,word,yes,25,28,53,53,1,6746,0
Sub_8021,4,word,yes,57,37,94,94,1,11441,0
Sub_8021,3,word,no,33,34,67,67,1,9395,1
Sub_8021,2,digit,yes,28,39,67,67,1,8873,0
Sub_8021,3,word,no,62,14,76,76,1,10845,0
Sub_8021,4,word,yes,29,38,67,67,1,10102,0
Sub_8021,4,word,yes,47,27,74,74,1,8456,0
Sub_9447,3,word,no,41,12,53,53,1,5431,0
Sub_9447,1,digit,no,32,42,74,74,1,2908,0
Sub_9447,4,word,yes,57,37,94,94,1,9724,1
Sub_9447,2,digit,yes,39,37,76,73,0,4503,0
Sub_9447,1,digit,no,51,32,83,83,1,5367,0
Sub_9447,2,digit,yes,27,29,56,56,1,4709,0
Sub_9447,4,word,yes,25,28,53,53,1,9039,0
Sub_9447,1,digit,no,64,24,88,88,1,2430,0
Sub_9447,1,digit,no,62,23,85,85,1,4177,0
Sub_9447,4,word,yes,29,38,67,67,1,14488,1
Sub_9447,2,digit,yes,28,39,67,67,1,5364,0
Sub_9447,4,word,yes,48,37,85,75,0,10753,1
Sub_9447,3,word,no,33,34,67,67,1,8362,0
Sub_9447,3,word,no,62,32,94,94,1,6279,0
Sub_9447,2,digit,yes,59,26,85,85,1,4362,0
Sub_9447,3,word,no,52,22,74,74,1,7049,0
Sub_9447,2,digit,yes,27,35,62,62,1,4021,0
Sub_9447,2,digit,yes,48,46,94,94,1,3066,0
Sub_9447,1,digit,no,22,34,56,56,1,5409,0
Sub_9447,4,word,yes,47,27,74,74,1,6655,0
Sub_9447,3,word,no,51,11,62,62,1,4416,0
Sub_9447,3,word,no,62,14,76,76,1,8453,0
Sub_9447,1,digit,no,52,24,76,76,1,3345,0
Sub_9447,4,word,yes,28,34,62,62,1,6799,0
Sub_9447,2,digit,yes,45,38,83,83,1,4735,0
Sub_9447,4,word,yes,59,29,88,88,1,5804,0
Sub_9447,2,digit,yes,36,38,74,74,1,2068,0
Sub_9447,3,word,no,42,14,56,56,1,4272,0
Sub_9447,1,digit,no,23,44,67,67,1,6061,1
Sub_9447,1,digit,no,41,21,62,62,1,2657,0
Sub_9447,2,digit,yes,26,27,53,53,1,2313,0
Sub_9447,4,word,yes,38,18,56,56,1,3902,0
Sub_9447,3,word,no,61,22,83,83,1,4951,0
Sub_9447,3,word,no,54,34,88,88,1,4270,0
Sub_9447,4,word,yes,46,37,83,73,0,4935,0
Sub_9447,3,word,no,52,33,85,75,0,6084,1
Sub_9447,1,digit,no,72,22,94,94,1,3082,0
